,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Wake Forest,ACC (Atlantic),11,3,0.786,7,2,0.778,41,28.9,11.28,0.99,15,,10,
2,Clemson,ACC (Atlantic),10,3,0.769,6,2,0.75,26.3,14.8,11.43,2.66,14,3,3,
3,North Carolina State,ACC (Atlantic),9,3,0.75,6,2,0.75,33.1,19.7,10.22,0.39,20,,18,
4,Louisville,ACC (Atlantic),6,7,0.462,4,4,0.5,31.6,27.3,4.03,2.88,,,,
5,Florida State,ACC (Atlantic),5,7,0.417,4,4,0.5,27.6,26.5,0.64,2.22,,,,
6,Boston College,ACC (Atlantic),6,6,0.5,2,6,0.25,24.7,22.2,-1,-1.5,,,,
7,Syracuse,ACC (Atlantic),5,7,0.417,2,6,0.25,24.9,26.3,-0.17,1.74,,,,
8,Pitt,ACC (Coastal),11,3,0.786,8,1,0.889,41.4,23.6,12.32,0.32,13,,13,
9,Miami (FL),ACC (Coastal),7,5,0.583,5,3,0.625,34.1,28.4,5.09,3.26,,14,14,
10,Virginia,ACC (Coastal),6,6,0.5,4,4,0.5,34.6,31.8,2.24,2.57,,,,
11,Virginia Tech,ACC (Coastal),6,7,0.462,4,4,0.5,23.7,25.3,-0.33,0.67,,,15,
12,North Carolina,ACC (Coastal),6,7,0.462,3,5,0.375,35.2,32.1,3.77,2.15,,10,10,
13,Georgia Tech,ACC (Coastal),3,9,0.25,2,6,0.25,24,33.5,-1.91,3.68,,,,
14,Duke,ACC (Coastal),3,9,0.25,0,8,0,22.8,39.8,-11.76,-0.76,,,,
15,Cincinnati,American,13,1,0.929,9,0,1,36.9,16.9,15.34,0.2,4,8,2,
16,Houston,American,12,2,0.857,8,1,0.889,35.9,20.4,8.53,-3.26,17,,16,
17,UCF,American,9,4,0.692,5,3,0.625,31.9,24.5,3.07,-2.08,,,,
18,East Carolina,American,7,5,0.583,5,3,0.625,29.7,26.3,1.92,-0.83,,,,
19,Tulsa,American,7,6,0.538,5,3,0.625,26.4,26.6,-0.44,-0.29,,,,
20,SMU,American,8,4,0.667,4,4,0.5,38.4,28.4,6.18,-1.82,,,19,
21,Memphis,American,6,6,0.5,3,5,0.375,30.1,29.3,-1.36,-1.94,,,,
22,Navy,American,4,8,0.333,3,5,0.375,20.1,28.3,-1.53,4.3,,,,
23,Temple,American,3,9,0.25,1,7,0.125,16.3,37.5,-14.95,-1.61,,,,
24,South Florida,American,2,10,0.167,1,7,0.125,23.2,34.7,-8.33,1.59,,,,
25,Tulane,American,2,10,0.167,1,7,0.125,27.6,34,-5.03,2.89,,,,
26,Baylor,Big 12,12,2,0.857,8,2,0.8,31.6,18.3,13.5,3.28,5,,5,
27,Oklahoma State,Big 12,12,2,0.857,8,2,0.8,31.1,18.1,14.57,4.42,7,,5,
28,Oklahoma,Big 12,11,2,0.846,7,2,0.778,39.1,25.8,11.75,2.68,10,2,2,
29,Iowa State,Big 12,7,6,0.538,5,4,0.556,31.3,20.5,9.08,3.16,,7,7,
30,Kansas State,Big 12,8,5,0.615,4,5,0.444,27.5,21,9.12,2.43,,,25,
31,West Virginia,Big 12,6,7,0.462,4,5,0.444,25.2,23.8,1.54,3.85,,,,
32,Texas Tech,Big 12,7,6,0.538,3,6,0.333,30.3,30.2,2.57,2.26,,,,
33,Texas,Big 12,5,7,0.417,3,6,0.333,35.3,31.1,5.11,4.86,,21,15,
34,Texas Christian,Big 12,5,7,0.417,3,6,0.333,28.7,34.9,-0.45,3.63,,,,
35,Kansas,Big 12,2,10,0.167,1,8,0.111,20.8,42.2,-11.12,3.47,,,,
36,Michigan,Big Ten (East),12,2,0.857,9,1,0.9,35.8,17.4,19.8,6.23,3,,2,
37,Ohio State,Big Ten (East),11,2,0.846,8,1,0.889,45.7,22.8,19.53,5.53,6,4,2,
38,Michigan State,Big Ten (East),11,2,0.846,7,2,0.778,31.8,25.3,14.41,5.26,9,,5,
39,Penn State,Big Ten (East),7,6,0.538,4,5,0.444,25,17.3,11.22,5.53,,19,4,
40,Maryland,Big Ten (East),7,6,0.538,3,6,0.333,29.3,30.7,3.44,4.36,,,,
41,Rutgers,Big Ten (East),5,8,0.385,2,7,0.222,19.7,25.6,-1.32,4.06,,,,
